candidate_id,label,A_aromaticity,A_delta_wt_vs_mut,A_hybrid_complexity,A_hydrophobicity_kd,A_mutation_surprisal,A_net_charge,A_tcr_contact_potential,B_erap_nterm_proxy,B_proteasome_cterm,B_sanity_check,B_tap_transport_score,C_anchoring_P2,C_binding_quality,C_hla_anchor_p9,C_hla_delta_binding,C_total_binding,D1_exact_self_similarity,D_mutation_in_window,D_wt_presented,ic50_nm,rf_score,gb_score
DECOY_060,DECOY,0.2222222222222222,2.882156369052467,0.9041480079138502,0.0,0.2913965164294939,-0.1111111111111111,0.625,0.0,1.0,1.0,0.3999999999999999,-0.5,0.5856341189674522,2.0,0.0999999999999998,2.5,0.0,1.0,0.0,,0.965,0.9999838693744162
REAL_015,REAL,0.0,0.1639185361330838,0.9305199819861812,-0.3000000000000002,-0.3977595078470086,-0.1111111111111111,0.475,0.0,1.0,1.0,0.3999999999999999,0.5,0.5790965207631875,2.0,0.2999999999999998,4.5,0.0,1.0,0.0,24.0,0.8909999999999999,0.9999838693744162
DECOY_016,DECOY,0.1111111111111111,5.683550207408207,0.9628112763956056,1.875,0.0452653007628486,-0.0123456790123456,0.575,0.7,1.0,1.0,0.6,2.0,0.6225308641975309,1.5,0.6000000000000005,6.4,0.0,0.5,0.0,,0.995,0.9999838693744162
REAL_057,REAL,0.1111111111111111,0.7201140940911593,0.9811993626328788,0.0,1.1655860657179755,-0.0493827160493827,0.425,-0.5,1.0,1.0,0.48,-0.2,0.623905723905724,2.0,0.3,3.5,0.0,0.5,0.0,16.0,0.94,0.9999838693744162
REAL_007,REAL,0.3333333333333333,0.1769568617840448,0.6433164898120135,0.375,1.4199032544506602,-0.0123456790123456,0.525,-0.5,1.0,1.0,0.6,2.0,0.7991021324354658,1.5,0.0,8.0,0.0,1.0,0.0,8.0,0.83,0.9999838693744162
REAL_019,REAL,0.4444444444444444,0.6815844425756401,0.8585448959645477,5.4,-0.6520766965796931,-0.0123456790123456,0.525,-0.5,1.0,1.0,0.6,-0.5,0.7431537598204265,1.5,4.5,3.1,0.0,0.2,0.0,26.0,0.99,0.9999838693744162
REAL_039,REAL,0.1111111111111111,0.4561847948925356,0.908611072648343,0.0,0.454565863465481,-0.0123456790123456,0.375,0.0,1.0,1.0,0.6,2.0,0.6657407407407407,1.5,-0.1999999999999993,6.9,0.0,1.0,0.0,21.0,0.945,0.9999838693744162
DECOY_042,DECOY,0.2222222222222222,3.215519734059375,0.8886746146380738,-0.2999999999999998,0.2804196887142691,-0.0123456790123456,0.425,0.0,0.0,1.0,0.06,2.0,0.7089786756453422,-0.5,-0.3999999999999999,3.5,0.0,1.0,0.0,,0.59,2.740418092147498e-05
DECOY_057,DECOY,0.1111111111111111,3.9372434588588665,0.9811993626328788,-1.0125000000000002,0.1665122951025679,-0.0493827160493827,0.25,-0.5,1.0,1.0,0.48,-0.2,0.6207351290684624,2.0,0.1,3.4,0.0,0.5,0.0,,0.86,0.9999838693744162
DECOY_018,DECOY,0.1111111111111111,1.8543534088589504,0.6134351636923178,0.2999999999999989,0.0766657279103011,0.0,0.25,-0.5,1.0,1.0,0.48,0.5,0.8205387205387206,2.0,-0.2999999999999998,6.4,0.0,0.2,0.0,,0.672,0.9999838693744162
REAL_047,REAL,0.1111111111111111,0.4099596323199054,0.810419774378417,-0.9000000000000001,0.2223924213364476,-0.0493827160493827,0.475,0.0,1.0,1.0,0.6,2.0,0.6467452300785634,1.5,0.1,6.6000000000000005,0.0,1.0,0.0,7.0,0.99,0.9999838693744162
REAL_018,REAL,0.1111111111111111,0.1592170165726683,0.6134351636923178,0.2999999999999989,0.3833286395515056,0.0,0.225,-0.5,1.0,1.0,0.48,0.5,0.8276374859708193,2.0,-0.3000000000000007,6.5,0.0,0.2,0.0,7.0,0.48300000000000004,2.740418092147498e-05
DECOY_026,DECOY,0.1111111111111111,3.225392841658323,0.8357480847484129,5.025,-0.093153813797099,0.0,0.225,0.0,1.0,1.0,0.6,-0.5,0.7312008978675646,1.5,4.6,2.9000000000000004,0.0,1.0,0.0,,0.892,0.9999838693744162
DECOY_022,DECOY,0.2222222222222222,2.9470138827947183,0.805827268670956,-0.3374999999999998,-0.042386198122114,-0.0123456790123456,0.625,0.0,1.0,1.0,0.6,0.5,0.7244949494949496,1.5,0.2999999999999998,4.7,0.0,1.0,0.0,,1.0,0.9999838693744162
REAL_014,REAL,0.0,0.956755783746474,0.9157461394365553,0.0,0.2370391973008496,-0.0123456790123456,0.575,-0.8,1.0,1.0,0.6,2.0,0.6507295173961841,1.5,0.0,6.800000000000001,0.0,1.0,0.0,21.0,0.98,0.9999838693744162
REAL_013,REAL,0.1111111111111111,0.7201140940911593,0.030945745700171,0.0,1.1655860657179755,0.0,0.3,-0.5,1.0,1.0,0.48,2.0,0.975084175084175,2.0,0.2999999999999998,10.4,0.0,0.5,0.0,9.0,0.397,0.009614725262999203
DECOY_019,DECOY,0.4444444444444444,2.721825504192484,0.8585448959645477,6.6,-0.1304153393159386,-0.0123456790123456,0.7000000000000001,-0.5,1.0,1.0,0.6,-0.5,0.7416105499438833,1.5,4.4,3.1,0.0,1.0,0.0,,1.0,0.9999838693744162
DECOY_039,DECOY,0.1111111111111111,2.8505574326498104,0.908611072648343,-0.8250000000000001,0.0909131726930962,-0.0123456790123456,0.5,0.0,1.0,1.0,0.6,2.0,0.6499719416386083,1.5,-0.3999999999999994,6.8,0.0,1.0,0.0,,1.0,0.9999838693744162
